"title","url","stars","name","reviewUrl","text"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","Ida Wati","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxclQxWlJiRzVST1ZWNmJrRk1WR0l6VmxSRWMxRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOk1rT1ZRbG5ROVV6bkFMVGIzVlREc1E%7C%7C?hl=en-US","Kami merekomendasikan RS Faisal Krn pelayanan yg baik ramah,baru masuk di loby kami disambut ,luar biasa"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","Andi Akbar","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tJeFRVSnVRWFZqUVROTU5GaGhla3hpT1Y5U1NHYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOkIxTUJuQXVjQTNMNFhhekxiOV9SSGc%7C%7C?hl=en-US","Tampilan modern dgn multimedia yg canggih hanya buat branding. Pelayanan zonk... Antri sampai berjam²<br>Petugas Registrasi & apotik harus teriak² panggil nama pasien.. jadi pasien terpaksa harus menumpuk berdiri di depan loket u/ dengar namanya dipanggil"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","Akbar Tebe","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xCeGNEUldWRm80VVVKa2REQkRha1pWZDE5emFXYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOlBxcDRWVFo4UUJkdDBDakZVd19zaWc%7C%7C?hl=en-US","Pelayanan nya sangat buruk TERUTAMA DI ICU semua petugas d sana sangat tidak memanusiakan manusia. Angkuh, sombong dan sangat tidak ramah. Selalu judes kepada pasien. Dan kurang bertanggung jawab kepada pasien"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","Suhana Aulia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oV1h6Y3RTMjV3UTNwV1YwSXpiekY0YjNoR1lrRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOnhWXzctS25wQ3pWV0IzbzF4b3hGYkE%7C%7C?hl=en-US",""
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","Lasmiwati Wati","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oUFpISlFWVEJDVVZWQlpuWkNkMDl1VTAxTFNGRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOnhPZHJQVTBCUVVBZnZCd09uU01LSFE%7C%7C?hl=en-US",""
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","Shimmy sunny","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21KT2RGUjVkWHBCYms5M1pITkZkakZGU1RGNmRuYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOmJOdFR5dXpBbk93ZHNFdjFFSTF6dnc%7C%7C?hl=en-US","Waktu menunjukkan pukul 8kurang, tapi pelajaran belum juga jalan org mau ngurus surat kesehatan susah nya minta ampun, parah Hospitality nya"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","Safran Kembar","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWS2JIcGxlSFl5VFRGMmJsWjZTMnhWUkZsM1JtYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOlVKbHpleHYyTTF2blZ6S2xVRFl3Rmc%7C%7C?hl=en-US","Pelayanan sangat2 buruk..saya masuk igd tapi cuma mau rawat jalan saja krn sikon tdk memungkinkan saya untuk rawat inap..bukannya diperiksa dulu,eeh malah lngsung disuruh ke apotik beli obat sendiri..lah gunanya bpjs untuk apa??"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","Andi Irma Nursafitri Amiruddin","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GNlZrczNUak5KUmtwU1UzRlhRVGsxUlhWdFZrRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOnF6Vks3TjNJRkpSU3FXQTk1RXVtVkE%7C%7C?hl=en-US","Pelayanan lama dan berbelit"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","Alif Pratama","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kQmNuaG9iVlpNVm5kNE1rcDBTelptY0hKYVpWRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOmdBcnhobVZMVnd4Mkp0SzZmcHJaZVE%7C%7C?hl=en-US","Alur antrian harus di benahi, tidak jelas dan tidak teratur. Saran, lebih baik gunakan sistem antrian transparan dgn nomor antrian di monitor. Dan paling utama, sikap petugas/pegawai masih HARUS diperbaiki."
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","Rican Al Fattah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKblYwdHJTMlZyU0dKUk9FRm1UVk5vYWxkTFJFRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOkJnV0trS2VrSGJROEFmTVNoaldLREE%7C%7C?hl=en-US","Kasih bintang 1 untuk di bagian pelayanan pendaftaran rj BPJS untuk di bagian front officenya yang di depan yang badan nya gemuk cowok,cara ngomongnya TDK mencerminkan sikap friendly dalam melayani...cara ngomongnya kasar...mestinya kalian di bagian pelayanan tuch mengarahkan kami alur pelayanan nya kyk gimana ini langsung ngerocos saja dengan kalimat menjengkelkan....dasar!!! Plusnya untuk bagian perawatan rawat inapnya bagus ramah2  ,dan di bagian jaga igd umumnya juga pada ramah2 semua,hanya itu saja di bagian pelayanan pendaftaran rj BPJS-nya menjengkelkan"
